scenario_id,conflict_id,t_min,sep_nm,vert_ft
scenario_1,conflict_1,0.0,9.92,500.0
scenario_1,conflict_1,0.5,9.42,500.0
scenario_1,conflict_1,1.0,8.97,500.0
scenario_1,conflict_1,1.5,8.02,500.0
scenario_1,conflict_1,2.0,7.57,500.0
scenario_1,conflict_1,2.5,7.25,500.0
scenario_1,conflict_1,3.0,6.37,500.0
scenario_1,conflict_1,3.5,5.83,500.0
scenario_1,conflict_1,4.0,5.53,500.0
scenario_1,conflict_1,4.5,4.73,500.0
scenario_1,conflict_1,5.0,3.86,500.0
scenario_1,conflict_1,5.5,3.3,500.0
scenario_1,conflict_1,6.0,3.09,500.0
scenario_1,conflict_1,6.5,2.09,500.0
scenario_1,conflict_1,7.0,1.55,500.0
scenario_1,conflict_1,7.5,0.95,500.0
scenario_1,conflict_1,8.0,0.6,500.0
scenario_1,conflict_1,8.5,1.21,500.0
scenario_1,conflict_1,9.0,0.93,500.0
scenario_1,conflict_1,9.5,1.03,500.0
scenario_1,conflict_1,10.0,1.39,500.0
scenario_1,conflict_1,10.5,1.66,500.0
scenario_1,conflict_1,11.0,1.92,500.0
scenario_1,conflict_1,11.5,2.43,500.0
scenario_1,conflict_1,12.0,2.15,500.0
scenario_1,conflict_1,12.5,2.57,500.0
scenario_1,conflict_1,13.0,2.84,500.0
scenario_1,conflict_1,13.5,3.0,500.0
scenario_1,conflict_1,14.0,3.17,500.0
scenario_1,conflict_1,14.5,3.8,500.0
scenario_1,conflict_2,10.0,10.04,500.0
scenario_1,conflict_2,10.5,9.61,500.0
scenario_1,conflict_2,11.0,9.11,500.0
scenario_1,conflict_2,11.5,8.15,500.0
scenario_1,conflict_2,12.0,7.81,500.0
scenario_1,conflict_2,12.5,7.24,500.0
scenario_1,conflict_2,13.0,6.33,500.0
scenario_1,conflict_2,13.5,5.82,500.0
scenario_1,conflict_2,14.0,4.77,500.0
scenario_1,conflict_2,14.5,4.51,500.0
scenario_1,conflict_2,15.0,3.71,500.0
scenario_1,conflict_2,15.5,3.81,500.0
scenario_1,conflict_2,16.0,2.93,500.0
scenario_1,conflict_2,16.5,2.33,500.0
scenario_1,conflict_2,17.0,1.36,500.0
scenario_1,conflict_2,17.5,1.03,500.0
scenario_1,conflict_2,18.0,0.89,500.0
scenario_1,conflict_2,18.5,0.89,500.0
scenario_1,conflict_2,19.0,1.11,500.0
scenario_1,conflict_2,19.5,1.38,500.0
scenario_1,conflict_2,20.0,1.14,500.0
scenario_1,conflict_2,20.5,1.8,500.0
scenario_1,conflict_2,21.0,1.97,500.0
scenario_1,conflict_2,21.5,2.17,500.0
scenario_1,conflict_2,22.0,2.76,500.0
