scenario_id,conflict_id,event,t_min
scenario_1,conflict_1,alert,2.0
scenario_1,conflict_1,alert_update,3.0
scenario_1,conflict_1,resolution_cmd,5.0
scenario_1,conflict_1,los,10.0
scenario_1,conflict_2,alert,12.0
scenario_1,conflict_2,alert_update,13.0
scenario_1,conflict_2,resolution_cmd,15.0
scenario_1,conflict_2,los,20.0
scenario_2,conflict_1,alert,2.0
scenario_2,conflict_1,alert_update,3.0
scenario_2,conflict_1,resolution_cmd,5.0
scenario_2,conflict_1,los,10.0
scenario_2,conflict_2,alert,12.0
scenario_2,conflict_2,alert_update,13.0
scenario_2,conflict_2,resolution_cmd,15.0
scenario_2,conflict_2,los,20.0
scenario_3,conflict_1,alert,2.0
scenario_3,conflict_1,alert_update,3.0
scenario_3,conflict_1,resolution_cmd,5.0
scenario_3,conflict_1,los,10.0
scenario_3,conflict_2,alert,12.0
scenario_3,conflict_2,alert_update,13.0
scenario_3,conflict_2,resolution_cmd,15.0
scenario_3,conflict_2,los,20.0
