scenario_id,t_min,lat,lon
scenario_1,0.0,40.0,-74.0
scenario_1,1.0,40.033333,-73.966667
scenario_1,2.0,40.066667,-73.933333
scenario_1,3.0,40.1,-73.9
scenario_1,4.0,40.133333,-73.866667
scenario_1,5.0,40.166667,-73.833333
scenario_1,6.0,40.2,-73.8
scenario_1,7.0,40.233333,-73.766667
scenario_1,8.0,40.266667,-73.733333
scenario_1,9.0,40.3,-73.7
scenario_1,10.0,40.333333,-73.666667
scenario_1,11.0,40.366667,-73.633333
scenario_1,12.0,40.4,-73.6
scenario_1,13.0,40.433333,-73.566667
scenario_1,14.0,40.466667,-73.533333
scenario_1,15.0,40.5,-73.5
scenario_1,16.0,40.533333,-73.466667
scenario_1,17.0,40.566667,-73.433333
scenario_1,18.0,40.6,-73.4
scenario_1,19.0,40.633333,-73.366667
scenario_1,20.0,40.666667,-73.333333
scenario_1,21.0,40.7,-73.3
scenario_1,22.0,40.733333,-73.266667
scenario_1,23.0,40.766667,-73.233333
scenario_1,24.0,40.8,-73.2
scenario_1,25.0,40.833333,-73.166667
scenario_1,26.0,40.866667,-73.133333
scenario_1,27.0,40.9,-73.1
scenario_1,28.0,40.933333,-73.066667
scenario_1,29.0,40.966667,-73.033333
scenario_1,30.0,41.0,-73.0
scenario_2,0.0,40.0,-74.0
scenario_2,1.0,40.033333,-73.966667
scenario_2,2.0,40.066667,-73.933333
scenario_2,3.0,40.1,-73.9
scenario_2,4.0,40.133333,-73.866667
scenario_2,5.0,40.166667,-73.833333
scenario_2,6.0,40.2,-73.8
scenario_2,7.0,40.233333,-73.766667
scenario_2,8.0,40.266667,-73.733333
scenario_2,9.0,40.3,-73.7
scenario_2,10.0,40.333333,-73.666667
scenario_2,11.0,40.366667,-73.633333
scenario_2,12.0,40.4,-73.6
scenario_2,13.0,40.433333,-73.566667
scenario_2,14.0,40.466667,-73.533333
scenario_2,15.0,40.5,-73.5
scenario_2,16.0,40.533333,-73.466667
scenario_2,17.0,40.566667,-73.433333
scenario_2,18.0,40.6,-73.4
scenario_2,19.0,40.633333,-73.366667
scenario_2,20.0,40.666667,-73.333333
scenario_2,21.0,40.7,-73.3
scenario_2,22.0,40.733333,-73.266667
scenario_2,23.0,40.766667,-73.233333
scenario_2,24.0,40.8,-73.2
scenario_2,25.0,40.833333,-73.166667
scenario_2,26.0,40.866667,-73.133333
scenario_2,27.0,40.9,-73.1
scenario_2,28.0,40.933333,-73.066667
scenario_2,29.0,40.966667,-73.033333
scenario_2,30.0,41.0,-73.0
scenario_3,0.0,40.0,-74.0
scenario_3,1.0,40.033333,-73.966667
scenario_3,2.0,40.066667,-73.933333
scenario_3,3.0,40.1,-73.9
scenario_3,4.0,40.133333,-73.866667
scenario_3,5.0,40.166667,-73.833333
scenario_3,6.0,40.2,-73.8
scenario_3,7.0,40.233333,-73.766667
scenario_3,8.0,40.266667,-73.733333
scenario_3,9.0,40.3,-73.7
scenario_3,10.0,40.333333,-73.666667
scenario_3,11.0,40.366667,-73.633333
scenario_3,12.0,40.4,-73.6
scenario_3,13.0,40.433333,-73.566667
scenario_3,14.0,40.466667,-73.533333
scenario_3,15.0,40.5,-73.5
scenario_3,16.0,40.533333,-73.466667
scenario_3,17.0,40.566667,-73.433333
scenario_3,18.0,40.6,-73.4
scenario_3,19.0,40.633333,-73.366667
scenario_3,20.0,40.666667,-73.333333
scenario_3,21.0,40.7,-73.3
scenario_3,22.0,40.733333,-73.266667
scenario_3,23.0,40.766667,-73.233333
scenario_3,24.0,40.8,-73.2
scenario_3,25.0,40.833333,-73.166667
scenario_3,26.0,40.866667,-73.133333
scenario_3,27.0,40.9,-73.1
scenario_3,28.0,40.933333,-73.066667
scenario_3,29.0,40.966667,-73.033333
scenario_3,30.0,41.0,-73.0
